#start mode=1 prof=3 force=0 gear=HEAVY kp=9600.0 kd=48.0 vkp=6200.0 vki=31.0 lb=7.5 ea=21.9 rms=0.0 dead=1500 vbat=12.1
#seq,gyro,ang_c,ml,mr,el,er,inj
0,33,0,-1587,-1587,-1,0,0
1,104,-1,-1564,-1564,-1,-1,0
2,277,5,1527,1527,0,-1,0
3,374,16,1566,1566,-1,-2,0
4,354,26,1550,1550,-2,-1,0
5,331,35,1564,1564,0,0,0
6,314,44,1578,1578,0,0,0
7,275,52,1569,1569,0,-1,0
8,221,58,1560,1560,0,0,0
9,167,63,1558,1558,0,1,0
10,110,66,1550,1550,1,0,0
11,52,67,1536,1536,1,0,0
12,16,65,1519,1519,0,0,0
13,32,65,1548,1548,1,1,0
14,58,66,1570,1570,1,0,0
15,61,67,1578,1578,0,1,0
16,22,67,1575,1575,1,1,0
17,-49,65,1551,1551,1,1,0
18,-89,61,1531,1531,1,0,0
19,-90,60,1531,1531,0,1,0
20,-211,54,-1521,-1521,1,1,0
21,-280,44,-1555,-1555,1,1,0
22,-240,35,-1546,-1546,1,0,0
23,-232,26,-1552,-1552,0,1,0
24,-172,19,-1542,-1542,0,0,0
25,-75,15,1501,1501,1,0,0
26,7,13,1518,1518,-1,0,0
27,46,13,1522,1522,0,-1,0
28,82,15,1537,1537,0,0,0
29,87,18,1559,1559,1,1,0
30,44,18,1532,1532,0,0,0
31,21,17,1515,1515,0,0,0
32,49,18,1526,1526,0,0,0
33,37,19,1527,1527,0,1,0
34,8,18,1508,1508,0,0,0
35,-6,20,1510,1510,0,1,0
36,-118,15,-1543,-1543,0,1,0
37,-110,10,-1540,-1540,0,1,0
38,-76,6,-1533,-1533,0,0,0
39,-57,4,-1531,-1531,0,0,0
40,-53,0,-1547,-1547,-1,0,0
41,-4,-1,-1528,-1528,0,0,0
42,35,-1,-1512,-1512,0,0,0
43,27,0,-1536,-1536,-2,0,0
44,1,-1,-1556,-1556,0,-1,0
45,2,-2,-1554,-1554,0,0,0
46,11,-2,-1568,-1568,-1,-1,0
47,2,-3,-1577,-1577,0,-1,0
