#start mode=1 prof=3 force=0 gear=HEAVY kp=9600.0 kd=120.0 vkp=6200.0 vki=31.0 lb=7.5 ea=21.9 rms=0.0 dead=1500 vbat=11.1
#seq,gyro,ang_c,ml,mr,el,er,inj
0,-1947,40,-2600,-2600,-4,-2,0
1,-1998,-30,-2600,-2600,-4,-5,0
2,-1530,-90,-2600,-2600,-6,-6,0
3,-380,-118,-2600,-2600,-7,-8,0
4,879,-106,-1526,-1526,-8,-8,0
5,1718,-66,2418,2418,-9,-11,0
6,2279,-8,2600,2600,-10,-9,0
7,2837,67,2600,2600,-6,-7,0
8,3236,160,2600,2600,-4,-4,0
9,3324,268,2600,2600,-3,-3,0
10,2876,370,2600,2600,0,-1,0
11,1474,430,2600,2600,0,2,0
12,-46,439,-1859,-1859,3,2,0
13,-1005,416,-2600,-2600,4,4,0
14,-1545,377,-2600,-2600,4,3,0
15,-2085,320,-2600,-2600,1,0,0
16,-2475,242,-2600,-2600,-2,-2,0
17,-2446,157,-2600,-2600,-3,-4,0
18,-1867,84,-2600,-2600,-4,-5,0
19,-504,54,-2600,-2600,-6,-7,0
20,841,67,1783,1783,-6,-8,0
21,1650,107,2600,2600,-8,-9,0
22,2107,160,2600,2600,-7,-8,0
23,2527,229,2600,2600,-5,-5,0
24,2823,308,2600,2600,-3,-4,0
25,2960,401,2600,2600,-1,-2,0
26,2673,494,2600,2600,1,0,0
27,1437,552,2600,2600,2,2,0
28,-49,561,-1589,-1589,5,4,0
29,-1058,537,-2600,-2600,5,4,0
30,-1734,493,-2600,-2600,5,4,0
31,-2314,428,-2600,-2600,3,1,0
32,-2668,343,-2600,-2600,2,-1,0
33,-2622,254,-2600,-2600,-1,-2,0
34,-2276,166,-2600,-2600,-2,-5,0
35,-1282,111,-2600,-2600,-4,-5,0
36,-56,95,-2112,-2112,-5,-8,0
37,1037,115,2106,2106,-7,-8,0
38,1730,159,2600,2600,-7,-9,0
39,2186,217,2600,2600,-5,-8,0
40,2555,285,2600,2600,-4,-6,0
41,2859,365,2600,2600,-2,-4,0
42,3023,472,2600,2600,0,-1,0
43,2136,556,2600,2600,2,0,0
44,-11,566,-1627,-1627,4,1,0
45,-1478,518,-2600,-2600,4,3,0
46,-1619,473,-2600,-2600,4,3,0
47,-1795,418,-2600,-2600,2,1,0
48,-1921,356,-2600,-2600,0,-2,0
49,-1846,292,-2600,-2600,-2,-3,0
50,-1488,228,-2600,-2600,-4,-5,0
51,-14,210,-1961,-1961,-4,-6,0
52,1673,255,2600,2600,-7,-8,0
53,2211,320,2600,2600,-7,-8,0
54,2359,379,2600,2600,-4,-6,0
55,2768,458,2600,2600,-1,-3,0
56,2942,553,2600,2600,-1,-2,0
57,2489,647,2600,2600,1,0,0
58,526,676,2128,2128,3,2,0
59,-1033,641,-2600,-2600,4,3,0
60,-1187,600,-2600,-2600,5,3,0
61,-1170,574,-2600,-2600,3,3,0
62,-1725,522,-2600,-2600,1,0,0
63,-1960,458,-2600,-2600,-1,-2,0
64,-1771,385,-2600,-2600,-3,-2,0
65,-373,353,-2168,-2168,-4,-5,0
66,1607,394,2600,2600,-6,-6,0
