[A] 迭代  0  本轮 1.259  全局 1.259  摔 14/36  (14s)  {'stall': 0.8419, 'damp': 0.0298, 'irot': 0.0007, 'dead': 1504.8, 'delay': 1.5609, 'gnoise': 0.0002, 'bl': 2.6314}  {'still': 0.926, 'gain': 0.232, 'phase': 0.202}
[A] 迭代  1  本轮 1.467  全局 1.259  摔 2/36  (31s)  {'stall': 0.3057, 'damp': 0.0311, 'irot': 0.0004, 'dead': 1495.1, 'delay': 2.664, 'gnoise': 0.0002, 'bl': 2.4002}  {'still': 1.022, 'gain': 0.324, 'phase': 0.24}
[A] 迭代  2  本轮 1.291  全局 1.259  摔 0/36  (48s)  {'stall': 0.3817, 'damp': 0.0166, 'irot': 0.0004, 'dead': 1512.7, 'delay': 2.6245, 'gnoise': 0.0013, 'bl': 1.9035}  {'still': 0.988, 'gain': 0.22, 'phase': 0.166}
[A] 迭代  3  本轮 1.328  全局 1.259  摔 0/36  (66s)  {'stall': 0.492, 'damp': 0.0108, 'irot': 0.0005, 'dead': 1536.8, 'delay': 2.0079, 'gnoise': 0.0017, 'bl': 1.6968}  {'still': 1.05, 'gain': 0.212, 'phase': 0.131}
[A] 迭代  4  本轮 1.259  全局 1.259  摔 0/36  (84s)  {'stall': 0.4033, 'damp': 0.0156, 'irot': 0.0005, 'dead': 1502.3, 'delay': 2.5322, 'gnoise': 0.0007, 'bl': 1.733}  {'still': 0.971, 'gain': 0.209, 'phase': 0.157}
[A] 迭代  5  本轮 1.133  全局 1.133  摔 0/36  (102s)  {'stall': 0.4532, 'damp': 0.0144, 'irot': 0.0005, 'dead': 1500.7, 'delay': 3.0714, 'gnoise': 0.0004, 'bl': 2.038}  {'still': 0.731, 'gain': 0.234, 'phase': 0.335}
[A] 迭代  6  本轮 1.161  全局 1.133  摔 0/36  (121s)  {'stall': 0.2666, 'damp': 0.016, 'irot': 0.0002, 'dead': 1513.2, 'delay': 2.3643, 'gnoise': 0.0002, 'bl': 1.3075}  {'still': 0.902, 'gain': 0.202, 'phase': 0.112}
[A] 迭代  7  本轮 1.176  全局 1.133  摔 0/36  (143s)  {'stall': 0.4093, 'damp': 0.018, 'irot': 0.0003, 'dead': 1519.3, 'delay': 2.5248, 'gnoise': 0.001, 'bl': 1.5072}  {'still': 0.87, 'gain': 0.232, 'phase': 0.149}
[A] 迭代  8  本轮 1.088  全局 1.088  摔 0/36  (163s)  {'stall': 0.4298, 'damp': 0.0176, 'irot': 0.0003, 'dead': 1505.4, 'delay': 2.2152, 'gnoise': 0.0015, 'bl': 2.2311}  {'still': 0.728, 'gain': 0.273, 'phase': 0.173}
[A] 迭代  9  本轮 1.132  全局 1.088  摔 0/36  (183s)  {'stall': 0.3273, 'damp': 0.0101, 'irot': 0.0003, 'dead': 1514.3, 'delay': 2.1684, 'gnoise': 0.0003, 'bl': 1.9322}  {'still': 0.886, 'gain': 0.187, 'phase': 0.116}
[A] 迭代 10  本轮 1.013  全局 1.013  摔 0/36  (201s)  {'stall': 0.3725, 'damp': 0.0136, 'irot': 0.0004, 'dead': 1501.2, 'delay': 2.0678, 'gnoise': 0.0007, 'bl': 1.8363}  {'still': 0.786, 'gain': 0.177, 'phase': 0.102}
[A] 迭代 11  本轮 1.109  全局 1.013  摔 0/36  (220s)  {'stall': 0.2977, 'damp': 0.0166, 'irot': 0.0003, 'dead': 1505.4, 'delay': 2.1815, 'gnoise': 0.0007, 'bl': 1.5296}  {'still': 0.848, 'gain': 0.204, 'phase': 0.112}
[A] 迭代 12  本轮 1.061  全局 1.013  摔 0/36  (239s)  {'stall': 0.3366, 'damp': 0.0147, 'irot': 0.0003, 'dead': 1506.3, 'delay': 2.1729, 'gnoise': 0.0012, 'bl': 1.654}  {'still': 0.831, 'gain': 0.181, 'phase': 0.098}
[A] 迭代 13  本轮 1.056  全局 1.013  摔 0/36  (258s)  {'stall': 0.3799, 'damp': 0.0135, 'irot': 0.0003, 'dead': 1504.4, 'delay': 2.2482, 'gnoise': 0.0012, 'bl': 1.6889}  {'still': 0.773, 'gain': 0.221, 'phase': 0.121}
[A] 迭代 14  本轮 1.036  全局 1.013  摔 0/36  (277s)  {'stall': 0.3596, 'damp': 0.0121, 'irot': 0.0003, 'dead': 1502.1, 'delay': 2.3168, 'gnoise': 0.0007, 'bl': 1.8526}  {'still': 0.76, 'gain': 0.211, 'phase': 0.13}
[A] 迭代 15  本轮 1.040  全局 1.013  摔 0/36  (296s)  {'stall': 0.351, 'damp': 0.0146, 'irot': 0.0003, 'dead': 1503.7, 'delay': 2.1462, 'gnoise': 0.0011, 'bl': 1.7508}  {'still': 0.787, 'gain': 0.199, 'phase': 0.109}
[A] 迭代 16  本轮 1.024  全局 1.013  摔 0/36  (315s)  {'stall': 0.3269, 'damp': 0.0127, 'irot': 0.0003, 'dead': 1503.0, 'delay': 2.1123, 'gnoise': 0.0009, 'bl': 1.6043}  {'still': 0.792, 'gain': 0.18, 'phase': 0.103}
[A] 迭代 17  本轮 1.081  全局 1.013  摔 0/36  (334s)  {'stall': 0.3429, 'damp': 0.0136, 'irot': 0.0003, 'dead': 1506.9, 'delay': 2.1134, 'gnoise': 0.0005, 'bl': 1.7927}  {'still': 0.813, 'gain': 0.208, 'phase': 0.119}
[A] 完成
