[B] 迭代  0  本轮 1.652  全局 1.652  摔 24/36  (33s)  {'stall': 1.2, 'damp': 0.0077, 'irot': 0.002, 'dead': 1589.3, 'delay': 2.479, 'gnoise': 0.0002, 'bl': 1.0858, 'k': 46.1, 'c': 0.0045}  {'still': 0.994, 'gain': 0.471, 'phase': 0.375}
[B] 迭代  1  本轮 1.598  全局 1.598  摔 9/36  (84s)  {'stall': 0.44, 'damp': 0.0145, 'irot': 0.0009, 'dead': 1563.1, 'delay': 2.4576, 'gnoise': 0.0029, 'bl': 0.6859, 'k': 5.4353, 'c': 0.007}  {'still': 1.091, 'gain': 0.283, 'phase': 0.449}
[B] 迭代  2  本轮 1.609  全局 1.598  摔 10/36  (134s)  {'stall': 0.5675, 'damp': 0.0167, 'irot': 0.0015, 'dead': 1535.9, 'delay': 1.7342, 'gnoise': 0.0013, 'bl': 1.2037, 'k': 11.6, 'c': 0.0061}  {'still': 1.204, 'gain': 0.27, 'phase': 0.271}
[B] 迭代  3  本轮 1.557  全局 1.557  摔 4/36  (188s)  {'stall': 0.3455, 'damp': 0.0137, 'irot': 0.0005, 'dead': 1410.7, 'delay': 1.7461, 'gnoise': 0.0007, 'bl': 1.5228, 'k': 70.7, 'c': 0.0328}  {'still': 1.284, 'gain': 0.21, 'phase': 0.126}
[B] 迭代  4  本轮 1.341  全局 1.341  摔 0/36  (247s)  {'stall': 0.5781, 'damp': 0.0318, 'irot': 0.0008, 'dead': 1475.6, 'delay': 1.4777, 'gnoise': 0.0001, 'bl': 0.6499, 'k': 42.1, 'c': 0.0109}  {'still': 0.771, 'gain': 0.416, 'phase': 0.308}
[B] 迭代  5  本轮 1.364  全局 1.341  摔 1/36  (308s)  {'stall': 0.6013, 'damp': 0.0312, 'irot': 0.001, 'dead': 1518.6, 'delay': 1.4753, 'gnoise': 0.001, 'bl': 1.436, 'k': 19.1, 'c': 0.081}  {'still': 0.825, 'gain': 0.441, 'phase': 0.194}
[B] 迭代  6  本轮 1.289  全局 1.289  摔 0/36  (369s)  {'stall': 0.5296, 'damp': 0.0143, 'irot': 0.0009, 'dead': 1517.3, 'delay': 1.7686, 'gnoise': 0.0011, 'bl': 1.1879, 'k': 10.6, 'c': 0.0684}  {'still': 0.762, 'gain': 0.421, 'phase': 0.213}
[B] 迭代  7  本轮 1.222  全局 1.222  摔 0/36  (427s)  {'stall': 0.4375, 'damp': 0.0159, 'irot': 0.0008, 'dead': 1522.2, 'delay': 1.9052, 'gnoise': 0.0007, 'bl': 0.9884, 'k': 24.3, 'c': 0.0184}  {'still': 0.883, 'gain': 0.251, 'phase': 0.175}
[B] 迭代  8  本轮 1.011  全局 1.011  摔 0/36  (482s)  {'stall': 0.4031, 'damp': 0.0128, 'irot': 0.0008, 'dead': 1511.2, 'delay': 1.6706, 'gnoise': 0.0005, 'bl': 0.5617, 'k': 10.2, 'c': 0.0235}  {'still': 0.633, 'gain': 0.31, 'phase': 0.135}
[B] 迭代  9  本轮 1.062  全局 1.011  摔 0/36  (536s)  {'stall': 0.4513, 'damp': 0.0173, 'irot': 0.0007, 'dead': 1487.6, 'delay': 1.7481, 'gnoise': 0.0012, 'bl': 0.7332, 'k': 10.7, 'c': 0.038}  {'still': 0.788, 'gain': 0.213, 'phase': 0.121}
[B] 迭代 10  本轮 0.981  全局 0.981  摔 0/36  (591s)  {'stall': 0.4633, 'damp': 0.0178, 'irot': 0.0009, 'dead': 1509.0, 'delay': 1.649, 'gnoise': 0.0009, 'bl': 0.6773, 'k': 18.1, 'c': 0.0316}  {'still': 0.633, 'gain': 0.292, 'phase': 0.111}
